timestamp,query_text,user
2026-01-18T14:45:43.134189,Who is Jitam?,WebUser
2026-01-18T14:50:29.520792,Who is JItam?,WebUser
2026-01-18T15:52:21.672597,GOOGL,WebUser
2026-01-18T15:59:29.258106,What is GOOGL?,WebUser
2026-01-18T16:11:37.824759,Hi,WebUser
2026-01-18T16:15:29.702919,Are you good?,WebUser
2026-01-18T16:15:54.943210,Good to know that you are good,WebUser
2026-01-18T16:34:40.274201,Why Supreme Court ordered removal of SHO from duty?,WebUser
2026-01-18T16:35:41.337772,Supreme Court ordered removal of SHO from duty. What are the consequences?,WebUser
2026-01-18T17:15:32.749919,Update on Tesla,WebUser
2026-01-18T17:22:36.333306,Update on AAPL,WebUser
2026-01-18T17:23:49.591708,JP Morgan on private capital,WebUser
2026-01-18T17:24:26.034196,JPMorgan on private capital,WebUser
2026-01-18T18:26:45.612793,JPMorgan on private capital,WebUser
2026-01-18T20:02:54.475536,Hi,WebUser
2026-01-18T20:14:32.969237,Hi,WebUser
2026-01-18T20:15:07.580950,ok,WebUser
2026-01-18T20:19:09.176116,Hi,WebUser
2026-01-18T20:19:31.184039,Recent update on AAPL?,WebUser
2026-01-18T20:23:11.702997,Update on AMZN?,WebUser
2026-01-18T20:26:26.866463,Great. What's the recent update on AAPL then?,WebUser
2026-01-18T20:28:47.921948,Hi,WebUser
2026-01-18T20:29:14.341121,Hello,WebUser
2026-01-18T20:39:42.391685,How are you?,WebUser
2026-01-18T20:40:05.593775,Glad to know,WebUser
2026-01-18T21:11:05.366511,Hi,WebUser
